"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2006","2006",210,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2007","2007",228,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2008","2008",177,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2009","2009",170,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",191,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",179,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",196,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",224,,
"AUT","Austria","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",263,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",900,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",918,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2000","2000",44380,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2001","2001",45632,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2002","2002",46663,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2003","2003",47321,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2004","2004",48304,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2005","2005",49048,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2006","2006",49695,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2007","2007",50502,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2008","2008",51389,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2009","2009",52303,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2000","2000",42446,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2001","2001",43584,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2002","2002",44537,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2003","2003",45121,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2004","2004",46014,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2005","2005",46607,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2006","2006",47059,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2007","2007",47460,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2008","2008",47899,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2009","2009",48418,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",49038,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",49818,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",50655,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",51439,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",52338,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2000","2000",1934,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2001","2001",2048,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2002","2002",2126,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2003","2003",2200,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2004","2004",2290,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2005","2005",2441,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2006","2006",2636,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2007","2007",3042,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2008","2008",3490,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2009","2009",3885,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",4380,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",5033,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",5708,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",6184,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",6732,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2000","2000",4.358,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2001","2001",4.488,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2002","2002",4.556,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2003","2003",4.649,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2004","2004",4.741,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2005","2005",4.977,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2006","2006",5.304,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2007","2007",6.024,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2008","2008",6.791,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2009","2009",7.428,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2010","2010",8.199,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2011","2011",9.176,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",10.127,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",10.732,,
"BEL","Belgium","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",11.397,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2000","2000",107,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2001","2001",120,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2002","2002",83,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2003","2003",83,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2004","2004",95,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2005","2005",157,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2006","2006",204,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2007","2007",418,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2008","2008",459,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2009","2009",400,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",504,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",665,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",684,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",481,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",558,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2000","2000",130560,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2001","2001",133878,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2002","2002",137573,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2003","2003",140843,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2004","2004",144313,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2005","2005",147492,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2006","2006",150817,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2007","2007",154262,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2008","2008",157940,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2009","2009",161616,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2000","2000",129881,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2001","2001",133110,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2002","2002",136732,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2003","2003",139922,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2004","2004",143292,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2005","2005",146350,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2006","2006",149527,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2007","2007",152757,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2008","2008",156173,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2009","2009",159552,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2010","2010",163140,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2011","2011",167219,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",171392,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",175963,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",180867,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2000","2000",679,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2001","2001",768,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2002","2002",841,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2003","2003",921,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2004","2004",1021,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2005","2005",1142,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2006","2006",1290,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2007","2007",1505,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2008","2008",1767,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2009","2009",2064,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2010","2010",2419,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2011","2011",2843,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",3725,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",4629,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",5411,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2000","2000",0.52,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2001","2001",0.574,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2002","2002",0.611,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2003","2003",0.654,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2004","2004",0.707,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2005","2005",0.774,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2006","2006",0.855,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2007","2007",0.976,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2008","2008",1.119,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2009","2009",1.277,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2010","2010",1.461,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2011","2011",1.672,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2012","2012",2.127,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2013","2013",2.563,,
"BEL","Belgium","SFTN","% of foreign-trained nurses","TOT","Total","2014","2014",2.905,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2000","2000",98,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2001","2001",90,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2002","2002",73,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2003","2003",80,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2004","2004",101,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2005","2005",121,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2006","2006",148,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2007","2007",218,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2008","2008",265,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2009","2009",300,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",361,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",425,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",886,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",890,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",783,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2000","2000",64462,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2001","2001",65235,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2002","2002",66289,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2003","2003",66583,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2004","2004",68171,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2005","2005",69619,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2006","2006",70870,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2007","2007",72903,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2008","2008",75155,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2009","2009",78623,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2000","2000",50705,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2001","2001",51319,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2002","2002",52056,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2003","2003",52330,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2004","2004",53573,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2005","2005",54577,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2006","2006",55519,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2007","2007",56808,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2008","2008",58190,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2009","2009",60478,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",62056,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",64307,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",66325,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",68330,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2000","2000",13701,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2001","2001",13858,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2002","2002",14182,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2003","2003",14179,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2004","2004",14535,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2005","2005",14967,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2006","2006",15237,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2007","2007",15955,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2008","2008",16805,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2009","2009",17948,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",18592,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",19662,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",20502,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",21225,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2000","2000",56,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2001","2001",58,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2002","2002",51,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2003","2003",74,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2004","2004",63,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2005","2005",75,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2006","2006",114,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2007","2007",140,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2008","2008",160,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2009","2009",197,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2010","2010",247,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2011","2011",344,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",479,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",650,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2000","2000",21.254,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2001","2001",21.243,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2002","2002",21.394,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2003","2003",21.295,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2004","2004",21.321,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2005","2005",21.498,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2006","2006",21.5,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2007","2007",21.885,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2008","2008",22.36,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2009","2009",22.828,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2010","2010",22.983,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2011","2011",23.32,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",23.483,,
"CAN","Canada","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",23.53,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2000","2000",1115,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2001","2001",1593,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2002","2002",1683,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2003","2003",1561,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2004","2004",1874,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2005","2005",1841,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2006","2006",1950,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2007","2007",2154,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2008","2008",2399,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2009","2009",2763,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",2385,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",2452,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",2710,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",2857,,
